,open,high,low,close,volume,ticker
01-01-1996,28,28.21999931,27.79999924,27.80500031,23500,TATACONSUM.NS
02-01-1996,27.80500031,28,27.30500031,27.34499931,23000,TATACONSUM.NS
03-01-1996,27.34499931,27.70000076,27.5,27.54500008,21000,TATACONSUM.NS
04-01-1996,27.54500008,27.54999924,27,27.49500084,133000,TATACONSUM.NS
05-01-1996,27.5,27.5,27.29999924,27.37999916,114500,TATACONSUM.NS
08-01-1996,27.15500069,27.5,26.70000076,26.875,211000,TATACONSUM.NS
09-01-1996,26.875,26.60000038,26,26.36499977,32500,TATACONSUM.NS
10-01-1996,26.10000038,26.70000076,26.10000038,26.38500023,12500,TATACONSUM.NS
11-01-1996,26.59499931,26.70000076,26.20499992,26.625,28000,TATACONSUM.NS
12-01-1996,26.625,26.97999954,26.70000076,26.89500046,9500,TATACONSUM.NS
15-01-1996,26.89500046,26.72500038,26.20000076,26.5,10500,TATACONSUM.NS
16-01-1996,26.5,26.60000038,26.20999908,26.40500069,17500,TATACONSUM.NS
17-01-1996,26.40500069,26.5,26.30500031,26.35499954,17000,TATACONSUM.NS
18-01-1996,26.35499954,26.39999962,26.10000038,26.20999908,65000,TATACONSUM.NS
19-01-1996,26.20999908,26.29999924,26,26.04999924,183000,TATACONSUM.NS
22-01-1996,25.89999962,26.25,25.82500076,25.82500076,10500,TATACONSUM.NS
23-01-1996,25.82500076,26.20000076,24,24.54500008,35500,TATACONSUM.NS
24-01-1996,24.70000076,25,24.29999924,24.68499947,57500,TATACONSUM.NS
25-01-1996,24.5,24.89999962,24.35000038,24.89999962,36000,TATACONSUM.NS
26-01-1996,24.89999962,24.89999962,24.89999962,24.89999962,0,TATACONSUM.NS
29-01-1996,25,25.69000053,24.82999992,25.65999985,25000,TATACONSUM.NS
30-01-1996,25.65999985,26.5,25.51000023,25.79999924,41000,TATACONSUM.NS
31-01-1996,25.79999924,26.29999924,25.79999924,25.89999962,12000,TATACONSUM.NS
01-02-1996,25.89999962,26.70000076,26.20499992,26.5,80500,TATACONSUM.NS
02-02-1996,26.5,27.95000076,26.79999924,27.81999969,134000,TATACONSUM.NS
05-02-1996,28.45000076,29.5,27.39999962,27.72500038,58000,TATACONSUM.NS
06-02-1996,27.72500038,28.79999924,26.45999908,26.95999908,101000,TATACONSUM.NS
07-02-1996,26.79999924,28,26.79999924,27.70999908,31500,TATACONSUM.NS
08-02-1996,27.70999908,29,27.64999962,28.88999939,109000,TATACONSUM.NS
09-02-1996,28.88999939,30.5,29.02499962,30.09000015,79000,TATACONSUM.NS
12-02-1996,30.09000015,32,29.10000038,31.20999908,263000,TATACONSUM.NS
13-02-1996,31.20999908,32.47000122,30.5,31.95999908,205500,TATACONSUM.NS
14-02-1996,31.95999908,33.09999847,32.15000153,32.49000168,167500,TATACONSUM.NS
15-02-1996,32.49000168,32.5,31.95000076,32.22499847,27500,TATACONSUM.NS
16-02-1996,32.22499847,31.75,30.70000076,31,32000,TATACONSUM.NS
19-02-1996,31,31,30.10000038,30.14999962,25500,TATACONSUM.NS
20-02-1996,30.14999962,30.5,29.00499916,29.03000069,79000,TATACONSUM.NS
21-02-1996,29.03000069,29.03000069,29.03000069,29.03000069,0,TATACONSUM.NS
22-02-1996,29.03000069,30.79999924,30.02499962,30.69000053,59000,TATACONSUM.NS
